Time resource,Number of simulations,Average score,Rubicon percentage,Win percentage
0.00,0.00,0.00,0.00,0.00
0.10,73.69,136.72,87.20,34.40
0.20,146.76,140.91,95.04,41.32
0.30,218.17,139.97,91.74,44.63
0.40,289.54,156.15,96.67,56.04
0.50,346.34,161.11,97.32,57.54
0.60,424.54,158.43,99.11,58.93
0.70,508.42,156.88,99.11,66.96
0.80,585.63,161.50,96.43,75.89
0.90,662.28,162.95,94.64,77.14
1.00,748.40,163.73,100.00,80.09
1.10,786.27,175.33,100.00,85.96
1.20,875.62,184.35,100.00,87.34
1.30,933.16,188.23,100.00,89.47
1.40,1010.40,195.68,100.00,90.34
1.50,1096.25,196.44,100.00,92.79
1.60,1114.49,197.46,100.00,99.02
1.70,1228.70,200.98,100.00,99.48
1.80,1285.84,203.98,100.00,100.00
1.90,1388.04,205.04,100.00,100.00
2.00,1427.04,205.25,100.00,100.00